,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
229,25.1216,62.3254,74.77,55,0,6.13,PK,1615179185
230,5.8808,-10.0467,75.2,94,40,5.1,LR,1615179185
231,32.3513,-95.3011,51.8,50,1,6.91,US,1615179016
232,-33.0117,17.9442,55.4,88,81,5.75,ZA,1615179009
233,-2.9248,-39.9167,77.59,85,100,7.72,BR,1615179186
234,9.285,105.7244,86.86,54,98,20.94,VN,1615179186
235,17.0151,54.0924,75.2,60,0,3.44,OM,1615179186
236,-41.4122,175.5153,63.0,59,86,12.66,NZ,1615179187
237,48.2198,46.8311,31.12,87,0,23.17,RU,1615179187
238,13.2167,-59.5167,78.8,65,20,21.85,BB,1615179187
239,37.4,136.9,41.0,52,75,5.75,JP,1615179187
240,58.8053,-122.7002,21.2,73,75,0.27,CA,1615179187
241,69.2167,-51.1,15.8,73,20,8.05,GL,1615179188
242,14.9215,-23.5087,66.2,72,75,21.85,CV,1615179188
243,65.282,-126.8329,-4.0,71,40,10.36,CA,1615179188
244,6.7989,81.4808,86.0,84,40,9.22,LK,1615179188
245,-9.4431,147.1797,82.51,68,44,5.14,PG,1615179123
246,43.3817,133.9014,35.29,75,0,5.79,RU,1615179189
247,7.9868,117.0645,83.88,69,73,15.14,PH,1615179189
248,56.2,96.53,21.43,92,31,4.5,RU,1615179189
249,40.8061,140.3861,41.0,64,75,14.97,JP,1615179189
250,48.75,5.1667,24.8,93,0,7.67,FR,1615179189
251,23.1539,-81.9236,68.0,68,20,8.05,CU,1615179190
252,49.6311,72.8539,32.0,86,40,33.55,KZ,1615179190
253,8.7936,126.2969,83.25,68,72,7.07,PH,1615179190
254,39.2667,141.8833,42.8,52,75,8.05,JP,1615179122
255,2.0371,45.3438,80.6,65,40,17.27,SO,1615179191
256,69.1304,18.6123,17.6,86,75,2.3,NO,1615179191
257,5.8933,95.3214,82.89,75,87,13.49,ID,1615179191
258,37.7333,-25.6667,60.8,88,75,3.44,PT,1615179192
259,16.3333,-15.0,71.08,23,0,13.02,SN,1615179192
260,66.4167,112.4,7.75,91,100,7.58,RU,1615179192
261,-13.2325,30.2352,62.44,98,100,6.13,ZM,1615179192
262,7.3833,8.5667,77.27,82,45,6.02,NG,1615179192
263,26.1842,127.7558,75.2,56,40,10.36,JP,1615179193
264,37.5683,126.9778,55.4,35,20,2.3,KR,1615178916
265,-4.1967,152.1721,82.58,76,99,9.48,PG,1615179193
266,34.5667,76.1,21.52,87,86,2.26,IN,1615179193
267,64.3833,-173.3,26.08,97,100,8.19,RU,1615179193
268,21.3469,-158.0858,78.8,53,20,10.36,US,1615179193
269,1.7427,98.7792,86.61,58,36,5.23,ID,1615179194
270,13.2167,80.3167,86.0,58,40,5.75,IN,1615179194
271,56.45,138.1667,15.8,90,72,5.86,RU,1615179194
272,49.149,17.0019,28.0,86,0,6.91,CZ,1615179194
273,9.4942,50.8122,77.43,74,72,10.69,SO,1615179195
274,22.2855,114.1577,69.01,81,46,5.01,HK,1615179069
275,60.8156,-115.7999,14.0,62,17,9.22,CA,1615179195
276,4.2498,117.8871,80.6,83,20,6.91,MY,1615179195
277,-34.7333,135.8667,66.63,64,27,16.22,AU,1615179196
278,-5.8958,22.4178,66.43,91,100,3.02,CD,1615179196
279,-37.6167,-73.65,58.12,83,59,17.98,CL,1615179196
280,20.0058,110.3542,77.0,78,90,13.42,CN,1615179196
281,39.9956,-82.6743,26.6,68,1,2.08,US,1615178993
282,2.8197,-60.6733,77.0,83,0,5.75,BR,1615179197
283,57.2169,94.8978,21.83,94,56,4.27,RU,1615179197
284,-20.5833,17.4333,63.41,65,37,3.49,NA,1615179197
285,-6.3667,37.3667,72.07,85,99,1.57,TZ,1615179019
286,71.9667,102.5,-25.08,85,91,2.01,RU,1615179198
287,33.6668,-95.5836,48.2,57,1,8.05,US,1615179198
288,-28.24,-48.6703,73.4,88,20,7.16,BR,1615179198
289,24.4667,54.3667,68.0,77,20,2.3,AE,1615179048
290,37.4833,141.0,46.0,64,100,1.99,JP,1615179181
291,-17.7125,-39.2481,76.55,89,100,6.49,BR,1615179199
292,49.7834,-74.8492,-7.6,84,1,2.42,CA,1615179199
293,-20.5667,164.2833,78.53,74,70,8.12,NC,1615179199
294,-1.2675,116.8289,88.54,52,64,5.82,ID,1615179126
295,-8.4753,-74.8058,73.24,98,100,2.42,PE,1615179199
296,37.1041,-113.5841,61.0,20,1,4.61,US,1615179061
297,23.2,81.9667,91.18,11,0,4.34,IN,1615179200
298,-16.9833,-65.1333,73.85,80,57,1.12,BO,1615179200
299,-0.9492,100.3543,82.4,78,91,6.91,ID,1615179200
300,36.8529,-75.978,33.8,51,1,3.44,US,1615179087
301,-4.2714,-81.2147,73.22,79,99,6.58,PE,1615179200
302,-33.2926,23.4895,61.77,73,99,1.03,ZA,1615179201
303,34.6391,-120.4579,50.0,87,90,4.61,US,1615179201
304,-31.95,141.4333,84.2,26,40,10.36,AU,1615179201
305,48.0056,91.6419,33.76,60,81,4.36,MN,1615179201
306,3.1655,-52.3158,71.67,98,91,2.71,GF,1615179201
307,47.6666,-52.7314,28.99,74,90,10.36,CA,1615179202
308,29.5833,-9.5,51.89,91,89,6.04,MA,1615179202
309,53.3508,102.7839,20.66,89,98,5.26,RU,1615179202
310,18.4167,-64.6167,78.01,88,4,13.0,VG,1615179202
311,38.4167,77.2406,54.82,37,0,6.11,CN,1615179203
312,-33.7333,-70.75,75.2,43,0,10.36,CL,1615179203
313,30.7554,20.2263,58.32,49,0,7.56,LY,1615179203
314,35.1981,-111.6513,50.0,60,1,7.31,US,1615179204
315,-25.2406,130.9889,93.2,22,40,5.75,AU,1615179204
316,6.8833,73.1,83.05,67,63,6.87,MV,1615179204
317,16.8634,-99.8901,75.31,76,72,5.37,MX,1615179204
318,58.2093,-6.3865,44.6,93,65,8.05,GB,1615179205
319,58.8353,125.4869,23.11,94,63,9.73,RU,1615179205
320,-23.8928,-55.4311,65.91,64,0,2.04,BR,1615179205
321,50.3891,30.3705,34.0,93,90,13.42,UA,1615179205
322,7.7669,-72.225,66.79,83,100,2.08,VE,1615179206
323,-13.7,-76.2167,73.4,78,0,4.61,PE,1615179038
324,-20.9333,-66.2333,46.2,63,100,5.39,BO,1615179206
325,17.8868,-77.5902,72.21,82,15,5.95,JM,1615179206
326,32.8551,-90.4056,46.4,75,1,5.17,US,1615179207
327,13.3034,-4.8956,79.16,21,44,8.34,ML,1615179207
328,-7.7136,-66.9764,74.05,94,87,1.16,BR,1615179207
329,34.54,-112.4685,57.0,22,1,8.05,US,1615179061
330,28.2211,61.2158,62.1,26,0,5.23,IR,1615179208
331,48.5074,39.3004,31.39,90,34,18.07,UA,1615179208
332,-45.5752,-72.0662,37.11,81,3,6.24,CL,1615179208
333,35.7565,-83.9705,39.2,48,1,3.44,US,1615179208
334,-0.1934,-74.7819,70.92,98,100,1.74,CO,1615179209
335,12.6,75.8667,83.3,21,0,8.28,IN,1615179209
336,19.8,75.5333,84.2,28,0,3.44,IN,1615179209
337,29.0331,21.5482,58.66,35,0,5.97,LY,1615179209
338,70.8578,29.0864,19.4,73,20,9.22,NO,1615179209
339,-2.8856,-40.12,77.94,87,99,10.67,BR,1615179209
340,20.9625,-75.7186,75.2,78,40,10.36,CU,1615179210
341,40.922,14.5329,51.8,82,75,3.44,IT,1615179210
342,36.9034,-104.4391,44.6,24,1,8.05,US,1615179210
343,46.4333,26.4,30.99,74,0,3.44,RO,1615179210
344,47.9417,-97.4337,39.2,65,1,10.36,US,1615179208
345,67.667,12.6934,35.02,85,100,15.97,NO,1615179210
346,29.9833,75.3833,83.46,20,0,11.7,IN,1615178941
347,-37.8333,140.7667,66.2,63,90,14.97,AU,1615179211
348,63.05,179.3167,13.71,94,35,13.09,RU,1615179211
349,40.6181,-8.733,51.01,83,19,1.01,PT,1615179211
350,63.3667,47.9167,-8.19,89,89,6.62,RU,1615179211
351,-13.8833,167.55,81.79,78,100,9.15,VU,1615179212
352,28.3667,129.4833,66.2,94,75,12.66,JP,1615179212
353,50.5834,-111.8851,33.8,69,5,6.91,CA,1615179212
354,58.3019,-134.4197,37.4,65,90,3.44,US,1615179212
355,-35.35,150.4667,78.01,72,75,19.57,AU,1615179212
356,32.6881,128.8419,59.0,58,20,14.97,JP,1615179213
357,-4.352,152.2633,82.27,79,100,6.06,PG,1615179213
358,48.6814,71.6433,32.49,94,100,19.55,KZ,1615179213
359,4.8699,-2.2405,79.56,87,9,9.01,GH,1615179060
360,-32.035,-52.0986,66.0,95,0,9.01,BR,1615179014
361,-12.7336,45.2042,78.8,89,100,2.3,YT,1615179214
362,15.11,36.6575,75.56,60,65,6.08,ER,1615179214
363,64.8378,-147.7164,15.8,86,90,4.61,US,1615179060
364,54.8753,69.1628,10.4,79,0,11.18,KZ,1615179214
365,39.1834,-84.5333,35.01,64,1,2.66,US,1615178996
366,-21.15,149.2,86.0,58,6,13.8,AU,1615179215
367,42.8167,27.8833,30.0,80,0,6.91,BG,1615179215
368,-25.1667,45.05,75.4,68,0,10.65,MG,1615179215
369,27.6667,85.3333,64.4,72,20,2.3,NP,1615179215
370,53.3668,-104.0009,33.8,75,75,12.66,CA,1615179215
371,-0.9131,122.8766,82.38,67,94,5.44,ID,1615179216
372,11.472,49.8728,82.29,38,94,10.96,SO,1615179216
373,19.8,85.85,86.0,58,40,8.05,IN,1615179216
374,34.9833,139.8667,48.2,87,75,5.75,JP,1615179216
375,9.5667,37.1,62.04,43,80,0.38,ET,1615179182
376,38.4253,-7.5349,46.4,93,75,6.91,PT,1615179217
377,20.8667,-90.4,71.83,76,0,16.31,MX,1615179217
378,43.6475,111.9767,44.76,52,0,5.14,CN,1615179217
